bow_style,number,match_score,match_allowance,set_score,set_allowance
longbow,104,25,1415,5,283
longbow,105,23,1417,5,283
longbow,106,22,1418,4,283
longbow,107,21,1419,4,283
longbow,108,20,1420,4,284
longbow,109,18,1422,4,284
longbow,110,17,1423,3,284
longbow,111,16,1424,3,284
longbow,112,15,1425,3,285
longbow,113,14,1426,3,285
longbow,114,13,1427,3,285
longbow,115,13,1427,3,285
longbow,116,12,1428,2,285
longbow,117,11,1429,2,285
longbow,118,10,1430,2,286
longbow,119,10,1430,2,286
longbow,120,9,1431,2,286
longbow,121,8,1432,2,286
longbow,122,8,1432,2,286
longbow,123,7,1433,1,286
longbow,124,7,1433,1,286
longbow,125,6,1434,1,286
longbow,126,6,1434,1,286
longbow,127,6,1434,1,286
longbow,128,5,1435,1,287
longbow,129,5,1435,1,287
longbow,130,5,1435,1,287
longbow,131,4,1436,1,287
longbow,132,4,1436,1,287
longbow,133,4,1436,1,287
longbow,134,3,1437,1,287
longbow,135,3,1437,1,287
longbow,136,3,1437,1,287
longbow,137,3,1437,1,287
longbow,138,3,1437,1,287
longbow,139,2,1438,1,287
longbow,140,2,1438,1,287
longbow,141,2,1438,1,287
longbow,142,2,1438,1,287
longbow,143,2,1438,1,287
longbow,144,2,1438,1,287
longbow,145,1,1439,1,287
longbow,146,1,1439,1,287
longbow,147,1,1439,1,287
longbow,148,1,1439,1,287
longbow,149,1,1439,1,287
longbow,150,1,1439,1,287
recurve,0,150,1290,30,258
recurve,1,150,1290,30,258
recurve,2,150,1290,30,258
recurve,3,150,1290,30,258
recurve,4,150,1290,30,258
recurve,5,150,1290,30,258
recurve,6,150,1290,30,258
recurve,7,150,1290,30,258
recurve,8,150,1290,30,258
recurve,9,150,1290,30,258
recurve,10,150,1290,30,258
recurve,11,149,1291,30,258
recurve,12,149,1291,30,258
recurve,13,149,1291,30,258
recurve,14,149,1291,30,258
recurve,15,149,1291,30,258
recurve,16,149,1291,30,258
recurve,17,149,1291,30,258
recurve,18,148,1292,30,258
recurve,19,148,1292,30,258
recurve,20,148,1292,30,258
recurve,21,148,1292,30,258
recurve,22,147,1293,29,258
recurve,23,147,1293,29,258
recurve,24,147,1293,29,258
recurve,25,146,1294,29,258
recurve,26,146,1294,29,258
recurve,27,145,1295,29,259
recurve,28,145,1295,29,259
recurve,29,145,1295,29,259
recurve,30,144,1296,29,259
recurve,31,144,1296,29,259
recurve,32,143,1297,29,259
recurve,33,143,1297,29,259
recurve,34,142,1298,28,259
recurve,35,141,1299,28,259
recurve,36,141,1299,28,259
recurve,37,140,1300,28,260
recurve,38,140,1300,28,260
recurve,39,139,1301,28,260
recurve,40,138,1302,28,260
recurve,41,138,1302,28,260
recurve,42,137,1303,27,260
recurve,43,136,1304,27,260
recurve,44,135,1305,27,261
recurve,45,134,1306,27,261
recurve,46,134,1306,27,261
recurve,47,133,1307,27,261
recurve,48,132,1308,26,261
recurve,49,131,1309,26,261
recurve,50,130,1310,26,262
recurve,51,129,1311,26,262
recurve,52,128,1312,26,262
recurve,53,127,1313,25,262
recurve,54,125,1315,25,263
recurve,55,124,1316,25,263
recurve,56,123,1317,25,263
recurve,57,122,1318,24,263
recurve,58,120,1320,24,264
recurve,59,119,1321,24,264
recurve,60,118,1322,24,264
recurve,61,116,1324,23,264
recurve,62,115,1325,23,265
recurve,63,113,1327,23,265
recurve,64,111,1329,22,265
recurve,65,110,1330,22,266
recurve,66,108,1332,22,266
recurve,67,106,1334,21,266
recurve,68,104,1336,21,267
recurve,69,102,1338,20,267
recurve,70,100,1340,20,268
recurve,71,98,1342,20,268
recurve,72,96,1344,19,268
recurve,73,94,1346,19,269
recurve,74,92,1348,18,269
recurve,75,90,1350,18,270
recurve,76,87,1353,17,270
recurve,77,85,1355,17,271
recurve,78,82,1358,16,271
recurve,79,80,1360,16,272
recurve,80,77,1363,15,272
recurve,81,75,1365,15,273
recurve,82,72,1368,14,273
recurve,83,70,1370,14,274
recurve,84,67,1373,13,274
recurve,85,65,1375,13,275
recurve,86,62,1378,12,275
recurve,87,60,1380,12,276
recurve,88,57,1383,11,276
recurve,89,55,1385,11,277
recurve,90,52,1388,10,277
recurve,91,50,1390,10,278
recurve,92,48,1392,10,278
recurve,93,45,1395,9,279
recurve,94,43,1397,9,279
recurve,95,41,1399,8,279
recurve,96,39,1401,8,280
